store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,year,month,day_of_month,is_weekend,sales
924,6,333,1,0,0,0,2014,5,31,1,3450.8223725394596
337,2,430,1,1,0,1,2013,8,13,0,5846.440070442431
1024,4,607,1,0,0,0,2015,3,12,0,4170.267062432671
56,3,402,1,1,0,0,2014,1,22,0,6331.235083357194
507,3,532,1,0,0,0,2014,4,9,0,6181.196174091346
970,5,406,1,0,0,0,2013,3,15,0,2644.3024050279164
846,2,828,1,0,0,0,2015,6,23,0,8353.737339811505
549,3,582,1,0,0,0,2014,8,27,0,4480.83461671468
1095,4,852,1,1,0,1,2013,3,28,0,6803.229852577475
859,5,709,1,1,0,0,2013,4,12,0,7513.494818890144
914,2,1178,1,1,0,1,2014,7,29,0,10693.677899262795
888,2,634,1,0,0,0,2015,6,23,0,6562.818690018258
442,2,517,1,1,0,0,2014,11,4,0,5587.880207970906
34,6,905,1,0,0,0,2013,3,9,1,7052.801853236061
199,4,581,1,0,0,0,2014,7,10,0,6506.292875577446
854,4,657,1,1,a,0,2015,6,4,0,6907.5228357739425
611,2,485,1,1,0,0,2014,1,21,0,6057.6751250706775
808,4,528,1,0,0,1,2015,4,9,0,5800.799585241439
1105,4,410,1,0,0,0,2015,1,22,0,3014.7778750540137
866,5,445,1,0,0,0,2015,4,24,0,5598.089019917261
222,6,367,1,0,0,0,2013,9,28,1,3090.6722928562986
476,2,753,1,1,0,0,2013,9,24,0,7313.305072371097
800,1,494,1,0,0,0,2014,5,26,0,5077.169932557701
330,1,408,1,0,0,0,2014,3,24,0,3638.5288134410835
507,3,648,1,1,0,0,2015,1,7,0,8341.866224068168
98,7,0,0,0,0,0,2013,6,2,1,412.9737639277637
1026,2,1044,1,0,0,0,2014,1,28,0,7967.620821666807
990,5,719,1,0,0,0,2013,10,4,0,6768.449420802431
8,6,345,1,0,0,0,2015,1,10,1,2676.9055197592957
611,3,566,1,1,0,1,2013,7,31,0,6803.3446288696305
257,2,777,1,1,0,0,2013,8,13,0,7148.471299381854
840,4,1189,1,1,0,0,2015,4,16,0,9222.876529924886
848,5,998,1,1,0,1,2015,7,31,0,9510.937447632841
124,6,297,1,0,0,0,2014,7,12,1,2255.254712540729
1028,2,438,1,0,0,1,2013,12,31,0,3532.624408715763
95,2,1099,1,1,0,0,2013,9,24,0,10228.43645000553
208,1,323,1,0,0,0,2013,10,28,0,2153.7471516439205
249,2,449,1,0,0,0,2014,7,8,0,3948.6502024826887
887,3,614,1,1,0,0,2013,3,20,0,7195.098382674786
73,1,601,1,1,0,1,2014,4,28,0,6636.629756573928
13,4,501,1,1,0,1,2015,4,2,0,6432.5410264479215
1049,2,580,1,0,0,1,2013,9,3,0,3459.085921676855
144,4,769,1,1,0,0,2015,2,5,0,8287.25485635554
847,3,1018,1,1,0,1,2013,8,14,0,8009.158018553853
796,3,717,1,0,0,0,2013,5,8,0,6701.243437673029
396,4,1139,1,0,0,0,2015,6,11,0,10025.753057211416
1080,7,0,0,0,0,0,2013,9,15,1,1951.688195690459
675,5,338,1,0,0,0,2014,9,26,0,2763.6477186815605
1099,1,1236,1,1,0,0,2014,12,1,0,10898.076248671328
791,1,858,1,0,0,0,2015,5,11,0,8008.655593135115
1014,2,1476,1,0,0,0,2015,3,24,0,12688.283206561588
487,2,737,1,1,0,0,2014,11,4,0,8105.538834814399
427,3,701,1,0,0,1,2013,2,13,0,6195.859220576885
254,5,282,1,1,0,0,2014,11,14,0,3776.80454234751
43,5,710,1,0,0,0,2014,1,31,0,6794.6467524117015
1074,2,421,1,0,0,0,2015,6,9,0,3574.9615792813884
549,6,380,1,0,0,0,2013,6,29,1,2939.096489684155
1095,2,720,1,1,0,0,2013,1,8,0,5707.244991606201
295,1,612,1,0,0,1,2013,10,28,0,4911.452059342733
319,1,863,1,0,0,1,2013,10,14,0,7876.5408537728
1002,4,642,1,0,0,0,2014,4,10,0,4731.054797714798
448,6,544,1,0,0,0,2014,12,6,1,6531.378421403609
527,2,1046,1,0,0,1,2013,9,3,0,10229.697126909514
255,5,652,1,1,0,0,2013,4,12,0,6578.771324272443
581,5,651,1,1,0,0,2014,7,4,0,6447.947858176976
185,6,550,1,0,0,0,2013,1,5,1,6407.848670872778
244,6,538,1,0,0,0,2014,11,22,1,5204.1110550332305
1082,6,877,1,0,0,0,2013,1,5,1,5621.698518332385
216,5,837,1,1,0,0,2015,3,20,0,7535.827464890641
350,4,508,1,1,0,0,2015,3,5,0,6984.379022953778
748,1,822,1,1,0,0,2014,3,31,0,9349.344988577514
718,1,962,1,0,0,0,2014,12,8,0,8772.69212483348
739,5,789,1,1,0,0,2014,2,21,0,9769.557948268335
614,7,0,0,0,0,0,2014,12,21,1,-1477.0840821415723
673,2,615,1,1,0,0,2014,2,18,0,7621.349730102321
83,1,367,1,0,0,0,2013,6,10,0,3739.7218464890348
976,3,598,1,0,0,0,2013,9,18,0,5195.108889622138
637,6,518,1,0,0,0,2013,4,6,1,6422.577374610615
122,2,714,1,1,0,0,2014,1,7,0,6300.9688281993085
898,1,1013,1,1,0,0,2014,11,24,0,10270.67691906247
1080,4,710,1,0,0,0,2014,6,26,0,7966.648919278958
291,1,1290,1,1,0,0,2015,3,30,0,12667.94535313897
24,4,711,1,0,0,1,2013,1,3,0,7110.473402244557
1096,7,0,0,0,0,0,2013,8,18,1,-538.6211915165723
637,5,860,1,0,0,0,2014,5,30,0,9067.170812841432
1002,2,850,1,1,0,0,2015,6,2,0,7939.168295601464
666,1,497,1,0,0,0,2014,3,10,0,5343.089184603071
1089,7,0,0,0,0,0,2013,11,24,1,940.4085783808887
334,6,515,1,0,0,0,2013,8,31,1,4779.359948807048
300,6,951,1,0,0,1,2014,8,30,1,7818.076736878447
207,1,1166,1,0,0,0,2014,9,22,0,10172.482118105214
683,3,854,1,0,0,0,2015,5,27,0,8252.090954288036
1094,2,394,1,1,0,0,2013,5,14,0,5057.738830978995
700,4,576,1,0,0,0,2015,7,9,0,4418.599522185541
959,2,744,1,0,0,0,2014,8,26,0,6607.019231177441
766,7,0,0,0,0,0,2014,6,22,1,892.1224760859668
1011,6,977,1,0,0,0,2013,6,8,1,7892.8824834467605
570,5,676,1,0,0,0,2013,12,13,0,4319.102831914894
685,2,689,1,1,0,0,2013,9,10,0,7639.187527879986
158,3,681,1,1,0,1,2014,4,16,0,9557.821094113968
66,5,522,1,0,0,1,2015,5,29,0,5530.191782677251
76,2,1080,1,1,0,0,2013,7,30,0,10608.737421581585
572,3,458,1,0,0,0,2013,10,16,0,4930.818035913832
184,6,510,1,0,0,0,2014,10,11,1,5606.601675120882
1034,5,775,1,1,0,0,2013,12,6,0,7434.037016741989
559,7,0,0,0,0,0,2013,8,11,1,-993.2447877079785
862,2,1561,1,0,0,1,2014,12,23,0,12015.231886844396
171,2,962,1,1,0,0,2014,11,11,0,9810.76502477111
33,7,0,0,0,0,0,2014,12,7,1,737.5043883174121
936,4,963,1,1,0,0,2014,11,27,0,8323.494042782924
948,2,1682,1,1,0,0,2014,2,18,0,7297.059558344939
371,6,551,1,0,0,0,2013,5,4,1,6261.750556097324
242,1,378,1,1,0,0,2014,5,5,0,5080.112004443264
133,5,622,1,0,0,0,2014,1,17,0,4673.628412992862
1031,1,681,1,1,0,0,2014,12,15,0,8148.292958218239
850,4,710,1,1,0,0,2013,2,7,0,6790.328694874623
860,5,833,1,1,0,0,2015,6,5,0,7377.567882055522
836,6,301,1,0,0,0,2013,7,6,1,2063.5983398718613
965,6,908,1,0,0,0,2013,11,30,1,8307.486628951134
1096,1,763,1,1,0,0,2015,1,26,0,7652.776834480506
504,3,836,1,1,0,1,2014,9,3,0,6670.781895312481
230,1,1327,1,0,0,1,2013,12,30,0,10777.554084591242
826,1,1170,1,1,0,0,2013,12,2,0,12721.115321363894
975,2,767,1,1,0,1,2013,7,30,0,8379.360951638742
602,2,547,1,0,0,1,2014,10,28,0,5350.683695961747
953,5,553,1,1,0,0,2014,9,19,0,5991.915703461913
187,6,491,1,0,0,0,2013,11,2,1,3774.317211235086
792,5,599,1,0,0,0,2013,10,18,0,5752.821612786929
1035,4,744,1,1,0,0,2014,11,27,0,6976.4398491154825
523,3,1515,1,1,0,1,2015,7,29,0,14128.435711956772
723,4,461,1,0,0,1,2013,4,4,0,4969.99118978387
1025,7,0,0,0,0,0,2013,5,26,1,-581.3770508915723
18,7,0,0,0,0,0,2015,1,4,1,-92.86383678024413
997,3,378,1,1,0,1,2014,9,3,0,5288.880955978489
400,6,805,1,0,0,0,2013,10,5,1,5684.748554902742
1047,2,491,1,0,0,0,2013,7,9,0,3983.066211784402
819,1,472,1,0,0,0,2013,9,2,0,5105.912381010063
668,1,1562,1,1,0,0,2014,6,2,0,13274.678158484887
585,4,666,1,0,0,0,2015,1,22,0,3671.379348431079
99,1,404,1,0,0,0,2014,3,10,0,4291.893164901301
965,6,847,1,0,0,0,2014,11,22,1,7937.343777789794
590,4,376,1,1,0,0,2013,2,21,0,4769.3203636038925
709,2,1682,1,1,0,0,2015,6,2,0,13811.62280316458
58,7,0,0,0,0,0,2013,10,20,1,1185.1363158076465
409,7,0,0,0,0,0,2014,2,9,1,146.36049793655275
850,6,826,1,0,0,0,2015,4,4,1,7529.299271183989
1058,3,737,1,1,0,0,2013,3,6,0,7659.6515568536215
1067,7,0,0,0,0,0,2014,4,13,1,790.3816008418262
777,1,0,0,0,b,1,2014,4,21,0,154.20911823207734
155,3,632,1,1,0,0,2014,5,21,0,7013.867120660346
598,1,871,1,1,0,0,2015,6,29,0,8413.555183531913
493,2,902,1,1,0,0,2014,7,1,0,9533.872564638885
628,7,0,0,0,0,1,2014,8,3,1,-602.7868714482129
524,1,1193,1,0,0,1,2013,12,30,0,10768.525285987938
966,4,585,1,0,0,1,2013,4,4,0,3895.691254628413
1022,5,791,1,0,0,1,2013,12,27,0,6648.125617362239
380,3,1720,1,1,0,0,2014,3,5,0,17039.346473814017
132,3,579,1,1,0,0,2015,1,14,0,6603.15029692739
400,5,999,1,0,0,0,2015,6,26,0,7021.727422690055
988,4,790,1,1,0,0,2013,8,29,0,5946.315735683285
906,2,1476,1,1,0,0,2013,3,19,0,12901.216394046329
1028,2,689,1,1,0,0,2013,11,5,0,6625.923906549725
1100,6,484,1,0,0,0,2013,3,23,1,3592.966446130575
759,1,607,1,0,0,0,2013,1,14,0,5223.291828520203
223,1,716,1,0,0,0,2014,10,27,0,6992.641882858267
936,7,0,0,0,0,0,2015,3,15,1,-872.7779603154004
780,6,341,1,0,0,0,2015,7,11,1,2765.07605012671
259,5,2677,1,1,0,0,2014,11,28,0,14645.39165231818
131,6,582,1,0,0,0,2013,11,9,1,5263.025940948689
251,3,2241,1,1,0,0,2015,1,28,0,18159.0876288142
1079,6,517,1,0,0,0,2015,1,17,1,6663.697768047619
1003,3,1029,1,1,0,0,2014,3,5,0,9820.927475272183
980,4,450,1,0,0,0,2013,9,5,0,5020.238846608296
654,2,766,1,1,0,0,2015,1,27,0,7790.153110878357
966,4,517,1,0,0,1,2013,7,25,0,3432.4451449664125
1020,1,929,1,0,0,0,2014,9,22,0,7677.306736802551
969,3,610,1,1,0,0,2014,3,19,0,4399.587270849332
1038,2,490,1,0,0,1,2015,4,7,0,5239.398429369412
516,3,453,1,0,0,1,2014,7,9,0,2918.0698693796558
733,1,3171,1,0,0,0,2013,1,14,0,12662.054440850887
595,6,1881,1,0,0,0,2014,5,31,1,15654.280240566006
260,3,962,1,1,0,1,2014,7,16,0,7846.465176214592
768,6,1251,1,0,0,0,2013,2,2,1,11558.20956347965
940,1,627,1,0,0,0,2013,1,14,0,5830.4736377712725
364,4,563,1,0,0,0,2013,6,27,0,3864.1553933734654
506,3,763,1,0,0,1,2015,7,22,0,6635.4186633751215
671,3,507,1,1,0,1,2013,5,29,0,5597.133370913745
300,6,862,1,0,0,0,2015,1,24,1,6932.627225792021
84,2,1563,1,1,0,0,2014,6,17,0,14665.290902001587
219,4,455,1,1,0,0,2015,5,7,0,4201.776114051658
934,5,764,1,1,0,0,2013,3,22,0,7653.069062287375
125,3,1906,1,1,0,1,2015,4,1,0,15261.320823367594
176,3,757,1,1,0,0,2013,12,4,0,6927.6020178649605
223,2,675,1,0,0,0,2013,11,26,0,6125.344994264241
326,1,429,1,1,0,0,2014,7,14,0,5951.889837556135
339,2,745,1,1,0,0,2013,8,27,0,6420.474879247742
872,3,659,1,0,0,1,2015,4,8,0,6550.602185424066
579,7,0,0,0,0,0,2014,11,23,1,170.48740528518556
974,5,1599,1,0,0,0,2014,2,28,0,11523.332413919245
979,7,0,0,0,0,0,2015,4,12,1,273.8951048701465
880,3,806,1,1,0,0,2014,6,4,0,8015.381355511058
910,7,0,0,0,0,0,2013,3,31,1,15.546868786162122
1084,6,614,1,0,0,0,2015,7,4,1,4800.034003697964
92,5,453,1,0,0,0,2015,6,12,0,4511.757863859789
14,6,402,1,0,0,0,2015,6,20,1,3555.6425647891547
587,1,960,1,0,0,1,2013,12,30,0,11378.662232993267
230,4,856,1,1,0,0,2013,10,24,0,7365.355690345699
689,6,589,1,0,0,0,2014,3,15,1,5671.082704855576
599,1,1096,1,1,0,0,2013,5,13,0,12078.734484114299
596,7,0,0,0,0,0,2013,12,22,1,-1668.6975922734082
576,1,749,1,0,0,0,2013,3,11,0,5132.707692932113
141,4,493,1,0,0,0,2014,6,26,0,3856.3409837948916
751,1,0,0,0,b,1,2014,4,21,0,-1336.2114644200146
877,5,925,1,0,0,0,2013,3,1,0,6106.536241836613
375,2,948,1,1,0,0,2013,4,23,0,10688.339783929336
230,1,988,1,0,0,0,2014,12,8,0,8091.7096622286645
545,3,1087,1,1,0,0,2014,1,22,0,11181.71516786413
1022,1,1093,1,1,0,0,2013,3,4,0,10298.087209951163
597,3,756,1,1,0,1,2014,8,20,0,6256.1087002604445
559,7,0,0,0,0,0,2014,6,8,1,-910.2202210575879
1024,6,825,1,0,0,0,2015,7,18,1,6662.133681363213
36,2,1205,1,1,0,0,2015,3,17,0,10986.154653089347
702,2,351,1,1,0,1,2013,5,28,0,4833.7796234481375
623,7,0,0,0,0,0,2013,2,10,1,-695.8025880009473
105,4,483,1,0,0,0,2013,10,17,0,3508.012460033828
902,2,648,1,1,0,0,2013,11,19,0,5852.762202876572
11,6,786,1,0,0,0,2015,4,11,1,5489.798299269529
1039,5,629,1,0,0,0,2013,6,28,0,4315.117978097009
102,1,1174,1,1,0,0,2015,2,16,0,9454.586871699958
543,5,175,1,0,0,1,2013,10,18,0,1457.1795101996786
827,4,1910,1,0,0,1,2014,1,2,0,14073.775302145417
110,3,647,1,1,0,0,2014,10,8,0,5855.185040166501
945,1,698,1,1,0,1,2015,1,5,0,7044.682486400994
582,3,749,1,0,0,0,2014,3,12,0,5503.915582608207
554,4,428,1,0,0,0,2014,1,16,0,2752.613330579902
486,2,384,1,0,0,1,2014,7,8,0,2757.9563642206467
637,6,520,1,0,0,0,2014,2,15,1,6551.290317864159
806,5,578,1,0,0,0,2014,1,31,0,6263.735716729106
887,6,462,1,0,0,0,2014,6,21,1,5451.206467036278
374,6,668,1,0,0,0,2015,4,4,1,5677.5219710884885
1025,5,804,1,0,0,1,2013,1,4,0,6158.315542237664
638,2,431,1,0,0,1,2013,8,6,0,4624.752603184864
123,6,490,1,0,0,0,2015,5,9,1,4440.061751222096
905,4,1108,1,1,0,0,2015,2,19,0,8104.782103009195
536,5,989,1,0,0,1,2013,4,5,0,8390.4784660119
763,7,0,0,0,0,0,2015,2,1,1,448.4077544062793
191,6,694,1,0,0,0,2013,8,10,1,6393.258894476305
957,4,948,1,1,0,0,2014,2,20,0,8970.822484992492
268,4,618,1,1,0,0,2015,6,4,0,5655.619358306685
654,6,266,1,0,0,0,2013,9,7,1,2425.8032022137704
612,6,388,1,0,0,0,2013,9,7,1,5835.910196771631
747,3,567,1,0,0,1,2014,8,27,0,6160.701890036387
656,6,380,1,0,0,0,2013,5,18,1,3022.8243034048583
368,5,592,1,0,0,1,2013,4,5,0,7470.632173624537
959,3,552,1,0,0,0,2013,9,18,0,4726.771042273432
329,2,708,1,1,0,0,2015,2,3,0,8042.441133728708
97,3,535,1,0,0,1,2015,7,22,0,5036.289830697563
314,2,661,1,1,0,1,2013,8,13,0,6554.285849012025
463,7,0,0,0,0,0,2015,1,11,1,-2215.1972108036816
258,1,0,0,0,a,0,2013,5,20,0,593.1279899924457
283,3,621,1,0,0,0,2013,11,13,0,5605.890606918357
556,1,754,1,0,0,0,2013,4,15,0,6273.02763972154
388,5,1211,1,1,0,0,2014,1,24,0,11368.961988853984
67,3,837,1,1,0,1,2014,9,3,0,8699.799512934846
725,5,677,1,1,0,0,2015,1,16,0,6871.878421220885
219,4,416,1,1,0,0,2013,6,6,0,3582.1330690109035
1077,2,479,1,0,0,0,2015,2,10,0,3884.563071323582
322,4,589,1,0,0,0,2013,5,23,0,4603.548131181374
814,3,581,1,1,0,1,2013,2,20,0,7502.056567718025
134,7,0,0,0,0,0,2013,6,30,1,-125.9305787236035
54,4,657,1,0,0,0,2013,7,11,0,6241.82967822027
662,5,854,1,1,0,0,2013,4,26,0,9224.147380574734
126,7,0,0,0,0,0,2015,4,19,1,1076.3440489619434
1001,6,471,1,0,0,0,2013,11,30,1,4040.3676905980674
657,4,598,1,0,0,0,2014,2,13,0,4023.112710875914
590,4,319,1,0,0,0,2013,3,14,0,3126.1295165974147
193,3,0,0,0,c,1,2013,12,25,0,-1534.5332852751553
168,6,465,1,0,0,0,2013,9,21,1,4885.108986483707
16,1,839,1,0,0,0,2013,7,22,0,7378.625169381065
244,1,738,1,1,0,0,2013,2,4,0,7636.047244730677
545,7,0,0,0,0,0,2015,2,8,1,1149.7181181758106
1032,6,492,1,0,0,0,2013,1,19,1,4709.456625644533
290,5,987,1,1,0,0,2013,5,31,0,9772.212742955482
548,4,335,1,1,0,0,2013,1,24,0,4395.253442967706
733,1,3508,1,1,0,1,2014,8,4,0,16664.49524543915
654,4,716,1,1,0,0,2013,6,6,0,6973.165404758444
272,6,377,1,0,0,0,2013,5,4,1,3569.593653222948
1017,3,1176,1,1,0,0,2013,3,20,0,9037.635620195033
708,2,462,1,1,0,0,2014,5,20,0,5040.0510913172075
819,4,454,1,1,0,0,2015,1,8,0,5529.125989858205
99,3,372,1,0,0,0,2013,6,26,0,3445.7735661683855
982,2,710,1,0,0,0,2013,12,10,0,7377.521318609097
683,5,0,0,1,b,1,2015,4,3,0,1311.5957202761829
194,3,373,1,0,0,0,2013,10,16,0,3627.6640066313657
853,2,1201,1,1,0,0,2015,6,30,0,11422.284963732305
53,1,650,1,1,0,1,2014,4,28,0,7098.470626814629
281,4,508,1,1,0,0,2013,2,7,0,5505.901740429669
101,2,879,1,1,0,0,2014,9,2,0,8894.807725270313
440,5,769,1,1,0,1,2015,6,5,0,7435.343576319568
994,2,435,1,1,0,0,2014,3,18,0,4947.379682242282
168,2,930,1,1,0,1,2013,7,30,0,9632.82727230422
48,7,0,0,0,0,0,2013,10,27,1,-206.73598338668944
652,6,501,1,0,0,0,2014,2,15,1,4764.170262192398
934,6,474,1,0,0,0,2014,1,11,1,4592.503463927118
223,6,589,1,0,0,0,2014,3,29,1,5678.685869528427
378,5,0,0,0,c,1,2014,12,26,0,-1856.9172779471219
865,3,624,1,1,0,0,2013,7,17,0,7548.525965402457
466,5,861,1,0,0,0,2014,1,31,0,7721.440662060779
789,5,546,1,0,0,0,2014,2,14,0,3525.3524585422033
61,7,0,0,0,0,0,2015,6,7,1,-527.9746766239941
765,4,1068,1,1,0,0,2013,12,19,0,11459.988491760523
673,1,500,1,0,0,0,2015,2,23,0,6077.438824158045
258,3,444,1,0,0,0,2014,6,25,0,4483.787970622284
740,3,499,1,1,0,0,2014,10,8,0,7073.366791954901
1080,1,764,1,0,0,0,2013,9,16,0,8932.701146895453
918,5,661,1,1,0,0,2014,6,20,0,6622.88013342727
857,6,1004,1,0,0,0,2013,6,22,1,7944.311338041181
837,1,482,1,1,0,0,2013,7,1,0,4785.957275981539
516,7,0,0,0,0,0,2015,3,1,1,-956.9006257206738
446,2,505,1,0,0,0,2014,5,27,0,3478.596546182567
835,4,0,0,1,a,0,2013,5,30,0,-462.2115357071698
140,7,0,0,0,0,0,2013,2,3,1,-1353.49590159958
207,3,1584,1,1,0,0,2013,8,14,0,13808.14897330333
961,4,668,1,1,0,0,2015,1,29,0,6770.1729644356565
772,2,507,1,1,0,0,2014,3,18,0,4448.883255519153
1089,2,1050,1,1,0,0,2014,9,2,0,10970.563857790856
521,3,421,1,1,0,0,2014,3,5,0,5335.705941397248
823,5,600,1,0,0,0,2014,1,17,0,5234.553977547303
436,6,426,1,0,0,0,2013,9,14,1,3687.2943681240804
483,7,0,0,0,0,0,2014,3,9,1,-999.2542023808301
215,2,333,1,0,0,0,2014,3,25,0,4007.403128011643
109,5,802,1,0,0,0,2015,5,29,0,6536.892059189939
858,1,590,1,1,0,0,2013,12,16,0,7202.076548765578
425,4,501,1,1,0,0,2015,3,5,0,4449.12704810968
357,5,905,1,0,0,1,2015,7,24,0,6773.457018431526
255,1,575,1,1,0,0,2015,2,2,0,6647.692717307265
798,6,343,1,0,0,0,2015,2,7,1,2658.99608204309
366,6,304,1,0,0,0,2013,3,23,1,3084.0526419742732
534,2,510,1,0,0,1,2015,4,7,0,6403.252353636316
179,5,1176,1,1,0,0,2014,6,20,0,9738.301188785197
258,2,464,1,0,0,1,2013,9,3,0,4773.301088762327
693,5,384,1,0,0,1,2014,8,29,0,4863.465929454831
999,4,685,1,1,0,1,2013,10,24,0,9398.578878943717
834,6,492,1,0,0,0,2014,4,19,1,4430.532919589846
512,4,1410,1,0,0,1,2013,10,31,0,6027.887949660747
818,2,662,1,1,0,0,2013,4,23,0,6724.489684300957
534,6,606,1,0,0,0,2013,10,12,1,7365.773574150359
1084,2,1099,1,1,0,0,2013,12,17,0,9393.534676671981
34,2,861,1,0,0,0,2015,3,10,0,6636.233419452708
101,4,686,1,0,0,0,2014,3,27,0,5898.434360225237
187,1,885,1,1,0,0,2015,3,2,0,8327.343139767236
20,1,1041,1,1,0,0,2013,9,23,0,10279.869042352739
828,7,0,0,0,0,0,2014,10,26,1,-202.13408519333007
434,1,823,1,1,0,1,2013,8,12,0,10972.13800141981
738,1,864,1,1,0,0,2015,5,4,0,10595.801643665465
351,5,569,1,1,0,0,2014,3,7,0,6676.590643230564
1020,4,905,1,0,0,0,2014,1,30,0,6683.593615468842
86,7,0,0,0,0,0,2013,8,11,1,-993.9042725712598
266,3,573,1,1,0,0,2015,6,17,0,5510.915865297535
608,5,1024,1,1,0,0,2014,6,20,0,10334.33194485047
708,5,493,1,1,0,1,2014,2,21,0,5234.4733378159635
734,3,605,1,1,0,0,2014,2,5,0,6576.881663461833
776,7,0,0,0,0,0,2015,6,7,1,-170.57500316208007
1060,2,853,1,1,0,0,2013,4,9,0,7821.799525895211
182,2,507,1,1,0,0,2014,4,29,0,6460.712780751468
542,3,431,1,0,0,0,2013,1,16,0,4229.020694029018
602,1,610,1,0,0,0,2013,5,6,0,5862.500142925366
101,4,777,1,1,0,0,2013,11,7,0,7782.727603884341
784,7,0,0,0,0,0,2013,6,30,1,22.962304577177747
679,7,0,0,0,0,0,2013,11,17,1,358.43744800979493
535,4,793,1,0,0,1,2014,8,14,0,6563.05645575452
844,4,516,1,1,0,0,2014,2,6,0,5023.927690858749
595,7,0,0,0,0,0,2015,5,24,1,121.52260731155275
25,6,1831,1,0,0,0,2013,3,30,1,13331.534342943582
416,3,1819,1,1,0,0,2014,12,3,0,15037.559990050948
539,4,966,1,0,0,0,2015,1,22,0,9025.967160702512
77,3,642,1,1,0,0,2013,8,28,0,7600.539344495384
641,2,493,1,0,0,0,2013,7,9,0,4637.303627179825
445,6,1201,1,0,0,0,2015,1,10,1,7752.666225319448
318,5,822,1,1,0,0,2013,5,3,0,8931.704959385543
394,3,539,1,0,0,0,2013,11,13,0,6333.0208443501515
761,5,1014,1,1,0,1,2014,2,7,0,9344.11150816514
706,2,578,1,1,0,0,2015,7,28,0,6855.059733896197
41,5,433,1,0,0,0,2014,2,28,0,4716.947470570207
894,1,958,1,0,0,1,2014,7,7,0,7955.413711033768
169,6,801,1,0,0,0,2014,5,3,1,7824.347241350545
1012,1,0,0,0,a,0,2014,6,9,0,880.2807656377017
310,4,868,1,1,0,0,2013,8,29,0,9947.73862940233
